wav_filename,wav_filesize,transcript
call_mom_14.wav,76078,call my mom
call_mom_10.wav,60078,call my mom
call_mom_1.wav,76078,call my mom
call_mom_2.wav,72078,call my mom
call_mom_3.wav,108078,call my mom
call_mom_4.wav,100078,call my mom
call_mom_5.wav,76078,call my mom
call_mom_6.wav,88078,call my mom
call_mom_7.wav,100078,call my mom
chg_bl_10.wav,112078,change colour to blue
chg_bl_1.wav,68078,change colour to blue
chg_bl_2.wav,60078,change colour to blue
chg_bl_3.wav,60078,change colour to blue
chg_bl_4.wav,60078,change colour to blue
chg_bl_5.wav,72078,change colour to blue
chg_bl_6.wav,68078,change colour to blue
chg_bl_7.wav,92078,change colour to blue
helo123_0.wav,68078,hello one two three
helo123_1.wav,60078,hello one two three
helo123_2.wav,72078,hello one two three
helo123_3.wav,92078,hello one two three
helo123_4.wav,84078,hello one two three
helo123_5.wav,60078,hello one two three
how_are_you1.wav,80078,how are you
how_are_you2.wav,80078,how are you
how_are_you3.wav,52078,how are you
how_are_you4.wav,68078,how are you
how_are_you5.wav,52078,how are you
how_are_you_8.wav,52078,how are you
how_are_you_10.wav,68078,how are you
play_fm91_10.wav,100078,play fm ninety one station
play_fm91_1.wav,84078,play fm ninety one station
play_fm91_2.wav,92078,play fm ninety one station
play_fm91_3.wav,96078,play fm ninety one station
play_fm91_4.wav,84078,play fm ninety one station
play_fm91_5.wav,136078,play fm ninety one station
play_fm91_6.wav,104078,play fm ninety one station
play_raga_1.wav,72078,play raga station
play_raga_2.wav,88078,play raga station
play_raga_3.wav,108078,play raga station
play_raga_4.wav,104078,play raga station
play_raga_5.wav,84078,play raga station
play_raga_6.wav,108078,play raga station
play_raga_12.wav,76078,play raga station
stop_10.wav,60078,stop
stop_2.wav,48078,stop
stop_3.wav,76078,stop
stop_4.wav,92078,stop
stop_5.wav,60078,stop
stop_6.wav,84078,stop
stop_7.wav,72078,stop
stop_11.wav,72078,stop
stop_fm91_1.wav,80078,stop fm ninety one station
toflg_10.wav,64078,turn off the light
